"druh","glean","hang_glean","hover_snatch","probe","snatch","manipulation","flycatch","pounce","bark","leaf","ground","other","air"
"Aegithalos_caudatus",15,5,1,0,0,0,0,0,13,8,0,0,0
"Certhia_brachydactyla",0,0,0,5,0,0,0,0,5,0,0,0,0
"Certhia_familiaris",5,2,0,157,0,0,0,0,164,0,0,0,0
"Chloris_chloris",15,0,0,0,0,0,0,0,0,15,0,0,0
"Coccothraustes_coccothraustes",81,0,2,0,0,0,0,0,15,63,5,0,0
"Cyanistes_caeruleus",276,212,11,0,6,0,0,0,226,270,8,1,0
"Dendrocopos_major",21,0,0,55,0,12,0,0,58,8,22,0,0
"Dendrocopos_medius",0,0,0,5,0,0,0,0,5,0,0,0,0
"Dryocoptes_martius",0,0,0,25,0,0,0,0,25,0,0,0,0
"Erithacus_rubecula",25,0,9,0,6,0,9,2,9,25,8,0,9
"Ficedula_albicollis",10,0,13,0,14,0,15,0,6,30,1,0,15
"Ficedula_hypoleuca",1,0,3,0,0,0,2,1,4,0,1,0,2
"Fringilla_coelebs",130,3,48,0,6,0,2,0,89,89,9,0,2
"Muscicapa_striata",0,0,0,0,4,0,22,0,0,4,0,0,22
"Oriolus_oriolus",10,0,0,0,0,0,0,0,0,10,0,0,0
"Parus_major",447,53,22,0,4,5,2,0,236,239,54,2,2
"Phoenicorus_phoenicorus",2,0,3,0,0,0,0,0,0,5,0,0,0
"Phylloscopus_collybita",57,5,11,0,3,0,0,0,29,44,1,2,0
"Phylloscopus_sibilatrix",51,0,17,0,5,0,0,0,32,40,1,0,0
"Poecile_palustris",45,26,5,0,4,0,0,0,44,36,0,0,0
"Sitta_europaea",142,10,3,339,1,3,1,0,428,59,3,8,1
"Sturnus_vulgaris",7,0,0,0,0,0,0,0,7,0,0,0,0
"Sylvia_atricapilla",103,3,7,0,5,0,0,0,31,87,0,0,0
"Sylvia_borin",7,0,0,0,1,0,0,0,1,7,0,0,0
"Troglodytes_troglodytes",47,0,0,0,0,0,0,0,34,4,9,0,0
"Turdus_merula",38,0,0,0,0,201,0,0,10,1,228,0,0
"Turdus_philomelos",19,0,0,0,0,15,0,0,2,0,32,0,0
"Turdus_viscivorus",5,0,0,0,0,0,0,0,2,3,0,0,0
