Sp_eBird,Sp_BirdLife,Study,Flycatching,Gleaning,Hovering,Pouncing,Probing,Snatching,Air,Bark,Flower,Ground,Leaf,Other,N_BEH,N_SUB,continent,location,zdroj_dat,Order
Ailuroedus melanotis,Ailuroedus melanotis,Crome1978,0,21,0,0,0,0,0,0,0,0,1.05,19.95,21,21,Australia,Northern Queensland,Ulicny,PASSERIFORMES
Aplonis metallica,Aplonis metallica,Crome1978,0,400,0,0,0,0,0,0,0,0,20,380,400,400,Australia,Northern Queensland,Ulicny,PASSERIFORMES
Arses kaupi,Arses kaupi,Crome1978,0.88,0,0,0,0,87.12,0.88,81.84,0,0,5.28,0,88,88,Australia,Northern Queensland,Ulicny,PASSERIFORMES
Cacatua alba,Cacatua alba,Crome1978,0,93,0,0,0,0,0,0,0,0,0,93,93,93,Australia,Northern Queensland,Ulicny,NONPASSERIFORMES
Carterornis leucotis,Monarcha leucotis,Crome1978,1.5,28.5,0,0,0,0,1.5,0,0,0,28.5,0,30,30,Australia,Northern Queensland,Ulicny,PASSERIFORMES
Coracina lineata,Coracina lineata,Crome1978,0,41,0,0,0,0,0,0,0,0,4.1,36.9,41,41,Australia,Northern Queensland,Ulicny,PASSERIFORMES
Dicaeum hirundinaceum,Dicaeum hirundinaceum,Crome1978,0.88,35.64,7.48,0,0,0,0.88,2.2,0,0,18.92,22,44,44,Australia,Northern Queensland,Ulicny,PASSERIFORMES
Eudynamys orientalis,Eudynamys orientalis,Crome1978,0,21,0,0,0,0,0,0,0,0,0,21,21,21,Australia,Northern Queensland,Ulicny,NONPASSERIFORMES
Gerygone palpebrosa,Gerygone palpebrosa,Crome1978,0.8,78.4,0.8,0,0,0,0.8,2.4,0,0,75.2,1.6,80,80,Australia,Northern Queensland,Ulicny,PASSERIFORMES
Lalage leucomela,Lalage leucomela,Crome1978,0,73,0,0,0,0,0,8.76,0,0,35.77,28.47,73,73,Australia,Northern Queensland,Ulicny,PASSERIFORMES
Ptiloris victoriae,Ptiloris victoriae,Crome1978,0,32.25,0,0,10.75,0,0,20.64,0,0,5.16,17.2,43,43,Australia,Northern Queensland,Ulicny,PASSERIFORMES
Myiagra ruficollis,Myiagra ruficollis,Crome1978,3,45,0.75,26.25,0,0,3,0,0,0,71.25,0.75,75,75,Australia,Northern Queensland,Ulicny,PASSERIFORMES
Microptilotis gracilis,Meliphaga gracilis,Crome1978,0,201.6,0,0,0,8.4,0,4.2,37.8,0,105,63,210,210,Australia,Northern Queensland,Ulicny,PASSERIFORMES
Myzomela obscura,Myzomela obscura,Crome1978,0,122.84,25.16,0,0,0,0,1.48,38.48,0,103.6,4.44,148,148,Australia,Northern Queensland,Ulicny,PASSERIFORMES
Orthonyx spaldingii,Orthonyx spaldingii,Crome1978,0,64,0,0,0,0,0,0,0,57.6,1.28,5.12,64,64,Australia,Northern Queensland,Ulicny,PASSERIFORMES
Pachycephala simplex,Pachycephala simplex,Crome1978,1.33,118.37,3.99,9.31,0,0,1.33,11.97,1.33,0,114.38,3.99,133,133,Australia,Northern Queensland,Ulicny,PASSERIFORMES
Pitta versicolor,Pitta versicolor,Crome1978,0,63,0,0,0,0,0,0,0,63,0,0,63,63,Australia,Northern Queensland,Ulicny,PASSERIFORMES
Rhipidura fuliginosa,Rhipidura fuliginosa,Crome1978,17.82,59.94,0,0,0,3.24,17.82,3.24,0,0,59.94,0,81,81,Australia,Northern Queensland,Ulicny,PASSERIFORMES
Rhipidura rufifrons,Rhipidura rufifrons,Crome1978,7.76,178.48,7.76,0,0,0,7.76,9.7,0,31.04,137.74,7.76,194,194,Australia,Northern Queensland,Ulicny,PASSERIFORMES
Sericornis magnirostra,Sericornis magnirostra,Crome1978,0,151,0,0,0,0,0,34.73,0,1.51,83.05,31.71,151,151,Australia,Northern Queensland,Ulicny,PASSERIFORMES
Sphecotheres vieilloti,Sphecotheres vieilloti,Crome1978,0,480,0,0,0,0,0,0,0,0,33.6,446.4,480,480,Australia,Northern Queensland,Ulicny,PASSERIFORMES
Symposiachrus trivirgatus,Monarcha trivirgatus,Crome1978,4.08,195.84,0,4.08,0,0,4.08,20.4,0,0,171.36,8.16,204,204,Australia,Northern Queensland,Ulicny,PASSERIFORMES
Tregellasia capito,Tregellasia capito,Crome1978,2.67,30.26,0,56.07,0,0,2.67,6.23,0,10.68,68.53,0.89,89,89,Australia,Northern Queensland,Ulicny,PASSERIFORMES
Xanthotis macleayanus,Xanthotis macleayanus,Crome1978,2.25,57.75,0,0,15,0,2.25,6,12,0,21.75,33,75,75,Australia,Northern Queensland,Ulicny,PASSERIFORMES
Zosterops lateralis,Zosterops lateralis,Crome1978,0,47,0,0,0,0,0,0,0,0,41.36,5.64,47,47,Australia,Northern Queensland,Ulicny,PASSERIFORMES
Ptilinopus magnificus,Ptilinopus magnificus,Frith1984,0,17,0,0,0,0,0,0,0,0,0,17,17,17,Australia,Northern Queensland,Ulicny,NONPASSERIFORMES
Macropygia amboinensis,Macropygia amboinensis,Frith1984,0,10,0,0,0,0,0,0,0,1,0,9,10,10,Australia,Northern Queensland,Ulicny,NONPASSERIFORMES
Platycercus elegans,Platycercus elegans,Frith1984,0,28,0,0,0,0,0,0,0,0,0,28,28,28,Australia,Northern Queensland,Ulicny,NONPASSERIFORMES
Coracina lineata,Coracina lineata,Frith1984,0,10,0,0,0,0,0,0,0,0,0,10,10,10,Australia,Northern Queensland,Ulicny,PASSERIFORMES
Meliphaga lewinii,Meliphaga lewinii,Frith1984,0,10,0,0,0,0,0,0,4,0,6,0,10,10,Australia,Northern Queensland,Ulicny,PASSERIFORMES
Bolemoreus frenatus,Lichenostomus frenatus,Frith1984,1.016,121.92,1.016,3.048,0,0,2.032,2.032,50.927,2.032,62.992,6.985,127,127,Australia,Northern Queensland,Ulicny,PASSERIFORMES
Acanthorhynchus tenuirostris,Acanthorhynchus tenuirostris,Frith1984,1,9,0,0,0,0,1,0,4,0,4,1,10,10,Australia,Northern Queensland,Ulicny,PASSERIFORMES
Neochmia temporalis,Neochmia temporalis,Frith1984,0,28.017,0,4.983,36.01,0,0,0,0,0,0,33,69.01,33,Australia,Northern Queensland,Ulicny,PASSERIFORMES
Ptiloris victoriae,Ptiloris victoriae,Frith1984,0,28.99,0,0,0,0,0,36.01,2.015,0.975,5.005,20.995,28.99,65,Australia,Northern Queensland,Ulicny,PASSERIFORMES
Tregellasia capito,Tregellasia capito,Frith1984,7.035,12.985,1.995,12.985,0,0,7,9.03,0,3.01,15.96,0,35,35,Australia,Northern Queensland,Ulicny,PASSERIFORMES
Pachycephala pectoralis,Pachycephala pectoralis,Frith1984,6.03,52.997,0,7.973,0,0,3.015,9.045,0,0,53.935,1.005,67,67,Australia,Northern Queensland,Ulicny,PASSERIFORMES
Colluricincla boweri,Colluricincla boweri,Frith1984,0,81.005,0,3.995,0,0,0,8.075,0,2.04,74.885,0,85,85,Australia,Northern Queensland,Ulicny,PASSERIFORMES
Rhipidura rufifrons,Rhipidura rufifrons,Frith1984,12.975,58.05,0,3.975,0,0,12.975,6,0,3.975,52.05,0,75,75,Australia,Northern Queensland,Ulicny,PASSERIFORMES
Rhipidura fuliginosa,Rhipidura fuliginosa,Frith1984,366.553,136.488,1.034,12.925,0,0,387.75,9.2026,2.068,4.9632,113.0162,0,517,517,Australia,Northern Queensland,Ulicny,PASSERIFORMES
