Sp_BirdLife,birdtree_taxonomy,Passeriformes
Ailuroedus_melanotis,Ailuroedus_melanotis,PASSERIFORMES
Aplonis_metallica,Aplonis_metallica,PASSERIFORMES
Arses_kaupi,Arses_kaupi,PASSERIFORMES
Cacatua_alba,Cacatua_alba,NONPASSERIFORMES
Monarcha_leucotis,Monarcha_leucotis,PASSERIFORMES
Colluricincla_rufogaster,#NAME?,#NAME?
Coracina_lineata,Coracina_lineata,PASSERIFORMES
Cyclopsitta_sp.,#NAME?,#NAME?
Dicaeum_hirundinaceum,Dicaeum_hirundinaceum,PASSERIFORMES
Eudynamys_orientalis,Eudynamys_orientalis,NONPASSERIFORMES
Gerygone_palpebrosa,Gerygone_palpebrosa,PASSERIFORMES
Lalage_leucomela,Lalage_leucomela,PASSERIFORMES
Ptiloris_victoriae,Ptiloris_victoriae,PASSERIFORMES
Megarynchus_pitangua,Megarynchus_pitangua,PASSERIFORMES
Meliphaga_gracilis,Meliphaga_gracilis,PASSERIFORMES
Myzomela_obscura,Myzomela_obscura,PASSERIFORMES
Orthonyx_spaldingii,Orthonyx_spaldingii,PASSERIFORMES
Pachycephala_simplex,Pachycephala_simplex,PASSERIFORMES
Pitta_versicolor,Pitta_versicolor,PASSERIFORMES
Rhipidura_fuliginosa,Rhipidura_fuliginosa,PASSERIFORMES
Rhipidura_rufifrons,Rhipidura_rufifrons,PASSERIFORMES
Sericornis_magnirostra,Sericornis_magnirostra,PASSERIFORMES
Sphecotheres_vieilloti,Sphecotheres_vieilloti,PASSERIFORMES
Monarcha_trivirgatus,Monarcha_trivirgatus,PASSERIFORMES
Tregellasia_capito,Tregellasia_capito,PASSERIFORMES
Xanthotis_macleayanus,Xanthotis_macleayanus,PASSERIFORMES
Zosterops_lateralis,Zosterops_lateralis,PASSERIFORMES
Ptilinopus_magnificus,Ptilinopus_magnificus,NONPASSERIFORMES
Macropygia_amboinensis,Macropygia_amboinensis,NONPASSERIFORMES
Platycercus_elegans,Platycercus_elegans,NONPASSERIFORMES
Meliphaga_lewinii,Meliphaga_lewinii,PASSERIFORMES
Lichenostomus_frenatus,Lichenostomus_frenatus,PASSERIFORMES
