"","x"
"1","Abroscopus_superciliaris"
"2","Acanthagenys_rufogularis"
"3","Acanthiza_apicalis"
"4","Acanthiza_chrysorrhoa"
"5","Acanthiza_ewingii"
"6","Acanthiza_inornata"
"7","Acanthiza_lineata"
"8","Acanthiza_nana"
"9","Acanthiza_pusilla"
"10","Acanthiza_reguloides"
"11","Acanthiza_robustirostris"
"12","Acanthiza_uropygialis"
"13","Acanthorhynchus_superciliosus"
"14","Acanthorhynchus_tenuirostris"
"15","Acridotheres_fuscus"
"16","Acrocephalus_dumetorum"
"17","Actinodura_morrisoniana"
"18","Aegithalos_caudatus"
"19","Aegithalos_concinnus"
"20","Aegithina_tiphia"
"21","Aethopyga_christinae"
"22","Aethopyga_nipalensis"
"23","Ailuroedus_melanotis"
"24","Alcippe_manipurensis"
"25","Alcippe_morrisonia"
"26","Alcippe_poioicephala"
"27","Anthochaera_carunculata"
"28","Anthochaera_chrysoptera"
"29","Aphelocephala_leucopsis"
"30","Aplonis_metallica"
"31","Arses_kaupi"
"32","Artamus_cyanopterus"
"33","Artamus_superciliosus"
"34","Baeolophus_inornatus"
"35","Baeolophus_wollweberi"
"36","Carduelis_chloris"
"37","Carpodacus_vinaceus"
"38","Catharus_fuscescens"
"39","Catharus_guttatus"
"40","Catharus_ustulatus"
"41","Certhia_familiaris"
"42","Cettia_acanthizoides"
"43","Chloropsis_cochinchinensis"
"44","Chthonicola_sagittatus"
"45","Cissa_chinensis"
"46","Climacteris_affinis"
"47","Climacteris_erythrops"
"48","Climacteris_picumnus"
"49","Climacteris_rufus"
"50","Coccothraustes_coccothraustes"
"51","Colluricincla_boweri"
"52","Colluricincla_harmonica"
"53","Conopophila_albogularis"
"54","Coracina_lineata"
"55","Coracina_novaehollandiae"
"56","Corcorax_melanorhamphos"
"57","Cormobates_leucophaea"
"58","Corvus_macrorhynchos"
"59","Culicicapa_ceylonensis"
"60","Daphoenositta_chrysoptera"
"61","Dendrocitta_formosae"
"62","Dendroica_caerulescens"
"63","Dendroica_fusca"
"64","Dendroica_virens"
"65","Dicaeum_concolor"
"66","Dicaeum_erythrorhynchos"
"67","Dicaeum_hirundinaceum"
"68","Dicrurus_bracteatus"
"69","Dicrurus_caerulescens"
"70","Dicrurus_leucophaeus"
"71","Dicrurus_macrocercus"
"72","Dumetia_hyperythra"
"73","Empidonax_minimus"
"74","Empidonax_oberholseri"
"75","Entomyzon_cyanotis"
"76","Eopsaltria_australis"
"77","Eopsaltria_griseogularis"
"78","Eopsaltria_pulverulenta"
"79","Epthianura_tricolor"
"80","Erithacus_rubecula"
"81","Eumyias_albicaudatus"
"82","Falcunculus_frontatus"
"83","Ficedula_albicollis"
"84","Ficedula_nigrorufa"
"85","Fringilla_coelebs"
"86","Garrulax_leucolophus"
"87","Garrulax_morrisonianus"
"88","Garrulus_glandarius"
"89","Gerygone_chloronota"
"90","Gerygone_fusca"
"91","Gerygone_levigaster"
"92","Gerygone_magnirostris"
"93","Gerygone_mouki"
"94","Gerygone_olivacea"
"95","Gymnorhina_tibicen"
"96","Hemipus_picatus"
"97","Heteromyias_albispecularis"
"98","Heterophasia_capistrata"
"99","Hirundo_daurica"
"100","Hylocichla_mustelina"
"101","Hypsipetes_leucocephalus"
"102","Icterus_bullockii"
"103","Icterus_parisorum"
"104","Iole_indica"
"105","Junco_hyemalis"
"106","Lalage_leucomela"
"107","Lanius_schach"
"108","Lanius_tephronotus"
"109","Leiothrix_lutea"
"110","Lichenostomus_chrysops"
"111","Lichenostomus_frenatus"
"112","Lichenostomus_fuscus"
"113","Lichenostomus_leucotis"
"114","Lichenostomus_melanops"
"115","Lichenostomus_ornatus"
"116","Lichenostomus_penicillatus"
"117","Lichenostomus_unicolor"
"118","Lichenostomus_virescens"
"119","Lichmera_indistincta"
"120","Liocichla_steerii"
"121","Macronous_gularis"
"122","Malacocincla_abbotti"
"123","Malurus_cyaneus"
"124","Malurus_pulcherrimus"
"125","Malurus_splendens"
"126","Manorina_melanocephala"
"127","Melanodryas_cucullata"
"128","Melanodryas_vittata"
"129","Meliphaga_gracilis"
"130","Meliphaga_lewinii"
"131","Melithreptus_albogularis"
"132","Melithreptus_brevirostris"
"133","Melithreptus_lunatus"
"134","Melithreptus_validirostris"
"135","Menura_novaehollandiae"
"136","Microeca_fascinans"
"137","Microeca_flavigaster"
"138","Minla_cyanouroptera"
"139","Minla_ignotincta"
"140","Monarcha_melanopsis"
"141","Monarcha_trivirgatus"
"142","Muscicapa_ferruginea"
"143","Muscicapa_striata"
"144","Myiagra_alecto"
"145","Myiagra_cyanoleuca"
"146","Myiagra_inquieta"
"147","Myiagra_rubecula"
"148","Myiagra_ruficollis"
"149","Myiarchus_cinerascens"
"150","Myiomela_major"
"151","Myophonus_caeruleus"
"152","Myzomela_erythrocephala"
"153","Myzomela_obscura"
"154","Myzomela_sanguinolenta"
"155","Nectarinia_asiatica"
"156","Nectarinia_lotenia"
"157","Nectarinia_minima"
"158","Nectarinia_zeylonica"
"159","Neochmia_temporalis"
"160","Niltava_vivida"
"161","Oreoica_gutturalis"
"162","Oreoscopus_gutturalis"
"163","Oriolus_oriolus"
"164","Oriolus_xanthornus"
"165","Orthonyx_spaldingii"
"166","Orthotomus_sutorius"
"167","Pachycephala_melanura"
"168","Pachycephala_pectoralis"
"169","Pachycephala_rufiventris"
"170","Pachycephala_simplex"
"171","Paradoxornis_verreauxi"
"172","Pardalotus_punctatus"
"173","Pardalotus_striatus"
"174","Parus_ater"
"175","Parus_atricapillus"
"176","Parus_caeruleus"
"177","Parus_major"
"178","Parus_monticolus"
"179","Parus_palustris"
"180","Parus_spilonotus"
"181","Parus_xanthogenys"
"182","Pericrocotus_brevirostris"
"183","Pericrocotus_flammeus"
"184","Petroica_goodenovii"
"185","Petroica_multicolor"
"186","Petroica_phoenicea"
"187","Petroica_rosea"
"188","Pheucticus_ludovicianus"
"189","Philemon_buceroides"
"190","Philemon_citreogularis"
"191","Philemon_corniculatus"
"192","Phylidonyris_novaehollandiae"
"193","Phylidonyris_pyrrhopterus"
"194","Phylloscopus_affinis"
"195","Phylloscopus_collybita"
"196","Phylloscopus_inornatus"
"197","Phylloscopus_magnirostris"
"198","Phylloscopus_proregulus"
"199","Phylloscopus_reguloides"
"200","Phylloscopus_sibilatrix"
"201","Phylloscopus_trochiloides"
"202","Phylloscopus_xanthoschistos"
"203","Piranga_olivacea"
"204","Pitta_versicolor"
"205","Polioptila_caerulea"
"206","Pomatorhinus_horsfieldii"
"207","Pomatostomus_superciliosus"
"208","Psaltriparus_minimus"
"209","Psophodes_olivaceus"
"210","Ptiloris_victoriae"
"211","Pycnonotus_cafer"
"212","Pycnonotus_jocosus"
"213","Pycnonotus_luteolus"
"214","Pyrocephalus_rubinus"
"215","Pyrrhula_erythaca"
"216","Pyrrhula_nipalensis"
"217","Rhipidura_fuliginosa"
"218","Rhipidura_leucophrys"
"219","Rhipidura_phasiana"
"220","Rhipidura_rufifrons"
"221","Rhipidura_rufiventris"
"222","Seicercus_burkii"
"223","Seiurus_aurocapilla"
"224","Sericornis_citreogularis"
"225","Sericornis_frontalis"
"226","Sericornis_magnirostra"
"227","Setophaga_ruticilla"
"228","Sialia_mexicana"
"229","Sialia_sialis"
"230","Sitta_carolinensis"
"231","Sitta_castanea"
"232","Sitta_europaea"
"233","Sitta_frontalis"
"234","Smicrornis_brevirostris"
"235","Sphecotheres_vieilloti"
"236","Stachyris_erythroptera"
"237","Stagonopleura_guttata"
"238","Strepera_graculina"
"239","Strepera_versicolor"
"240","Strophocincla_cachinnans"
"241","Sylvia_atricapilla"
"242","Taeniopygia_guttata"
"243","Tarsiger_indicus"
"244","Tarsiger_johnstoniae"
"245","Terpsiphone_paradisi"
"246","Thryomanes_bewickii"
"247","Tregellasia_capito"
"248","Troglodytes_troglodytes"
"249","Turdoides_affinis"
"250","Turdoides_striata"
"251","Turdus_merula"
"252","Turdus_philomelos"
"253","Tyrannus_vociferans"
"254","Vermivora_luciae"
"255","Vireo_gilvus"
"256","Vireo_olivaceus"
"257","Vireo_philadelphicus"
"258","Vireo_solitarius"
"259","Xanthotis_macleayanus"
"260","Yuhina_brunneiceps"
"261","Yuhina_flavicollis"
"262","Yuhina_occipitalis"
"263","Zoothera_lunulata"
"264","Zosterops_japonicus"
"265","Zosterops_lateralis"
"266","Zosterops_luteus"
"267","Zosterops_palpebrosus"
