"","x"
"1","Abroscopus_superciliaris"
"2","Acanthagenys_rufogularis"
"3","Acanthiza_apicalis"
"4","Acanthiza_chrysorrhoa"
"5","Acanthiza_ewingii"
"6","Acanthiza_inornata"
"7","Acanthiza_lineata"
"8","Acanthiza_nana"
"9","Acanthiza_pusilla"
"10","Acanthiza_reguloides"
"11","Acanthiza_robustirostris"
"12","Acanthiza_uropygialis"
"13","Acanthorhynchus_superciliosus"
"14","Acanthorhynchus_tenuirostris"
"15","Acridotheres_fuscus"
"16","Acrocephalus_dumetorum"
"17","Actinodura_morrisoniana"
"18","Aegithalos_caudatus"
"19","Aegithalos_concinnus"
"20","Aegithina_tiphia"
"21","Aethopyga_christinae"
"22","Aethopyga_nipalensis"
"23","Ailuroedus_melanotis"
"24","Alcippe_manipurensis"
"25","Alcippe_morrisonia"
"26","Alcippe_poioicephala"
"27","Anthochaera_carunculata"
"28","Anthochaera_chrysoptera"
"29","Aphelocephala_leucopsis"
"30","Aplonis_metallica"
"31","Arses_kaupi"
"32","Artamus_cyanopterus"
"33","Artamus_superciliosus"
"34","Baeolophus_inornatus"
"35","Baeolophus_wollweberi"
"36","Carduelis_chloris"
"37","Carpodacus_vinaceus"
"38","Catharus_fuscescens"
"39","Catharus_guttatus"
"40","Catharus_ustulatus"
"41","Certhia_familiaris"
"42","Cettia_acanthizoides"
"43","Chloropsis_cochinchinensis"
"44","Chthonicola_sagittatus"
"45","Cissa_chinensis"
"46","Climacteris_affinis"
"47","Climacteris_erythrops"
"48","Climacteris_picumnus"
"49","Climacteris_rufus"
"50","Coccothraustes_coccothraustes"
"51","Colluricincla_boweri"
"52","Colluricincla_harmonica"
"53","Conopophila_albogularis"
"54","Coracina_lineata"
"55","Coracina_novaehollandiae"
"56","Corcorax_melanorhamphos"
"57","Cormobates_leucophaea"
"58","Corvus_macrorhynchos"
"59","Culicicapa_ceylonensis"
"60","Daphoenositta_chrysoptera"
"61","Dendrocitta_formosae"
"62","Dendroica_caerulescens"
"63","Dendroica_fusca"
"64","Dendroica_virens"
"65","Dicaeum_concolor"
"66","Dicaeum_erythrorhynchos"
"67","Dicaeum_hirundinaceum"
"68","Dicrurus_bracteatus"
"69","Dicrurus_caerulescens"
"70","Dicrurus_leucophaeus"
"71","Dicrurus_macrocercus"
"72","Dumetia_hyperythra"
"73","Empidonax_minimus"
"74","Empidonax_oberholseri"
"75","Entomyzon_cyanotis"
"76","Eopsaltria_australis"
"77","Eopsaltria_griseogularis"
"78","Eopsaltria_pulverulenta"
"79","Epthianura_tricolor"
"80","Erithacus_rubecula"
"81","Eumyias_albicaudatus"
"82","Falcunculus_frontatus"
"83","Ficedula_albicollis"
"84","Ficedula_nigrorufa"
"85","Fringilla_coelebs"
"86","Garrulax_leucolophus"
"87","Garrulax_morrisonianus"
"88","Garrulus_glandarius"
"89","Gerygone_chloronota"
"90","Gerygone_fusca"
"91","Gerygone_levigaster"
"92","Gerygone_magnirostris"
"93","Gerygone_mouki"
"94","Gerygone_olivacea"
"95","Gerygone_palpebrosa"
"96","Gymnorhina_tibicen"
"97","Hemipus_picatus"
"98","Heteromyias_albispecularis"
"99","Heterophasia_capistrata"
"100","Hirundo_daurica"
"101","Hylocichla_mustelina"
"102","Hypsipetes_leucocephalus"
"103","Icterus_bullockii"
"104","Icterus_parisorum"
"105","Iole_indica"
"106","Junco_hyemalis"
"107","Lalage_leucomela"
"108","Lanius_schach"
"109","Lanius_tephronotus"
"110","Leiothrix_lutea"
"111","Lichenostomus_chrysops"
"112","Lichenostomus_frenatus"
"113","Lichenostomus_fuscus"
"114","Lichenostomus_leucotis"
"115","Lichenostomus_melanops"
"116","Lichenostomus_ornatus"
"117","Lichenostomus_penicillatus"
"118","Lichenostomus_unicolor"
"119","Lichenostomus_virescens"
"120","Lichmera_indistincta"
"121","Liocichla_steerii"
"122","Macronous_gularis"
"123","Malacocincla_abbotti"
"124","Malurus_cyaneus"
"125","Malurus_pulcherrimus"
"126","Malurus_splendens"
"127","Manorina_melanocephala"
"128","Megarynchus_pitangua"
"129","Melanodryas_cucullata"
"130","Melanodryas_vittata"
"131","Meliphaga_gracilis"
"132","Meliphaga_lewinii"
"133","Melithreptus_albogularis"
"134","Melithreptus_brevirostris"
"135","Melithreptus_lunatus"
"136","Melithreptus_validirostris"
"137","Menura_novaehollandiae"
"138","Microeca_fascinans"
"139","Microeca_flavigaster"
"140","Minla_cyanouroptera"
"141","Minla_ignotincta"
"142","Monarcha_leucotis"
"143","Monarcha_melanopsis"
"144","Monarcha_trivirgatus"
"145","Muscicapa_ferruginea"
"146","Muscicapa_striata"
"147","Myiagra_alecto"
"148","Myiagra_cyanoleuca"
"149","Myiagra_inquieta"
"150","Myiagra_rubecula"
"151","Myiagra_ruficollis"
"152","Myiarchus_cinerascens"
"153","Myiomela_major"
"154","Myophonus_caeruleus"
"155","Myzomela_erythrocephala"
"156","Myzomela_obscura"
"157","Myzomela_sanguinolenta"
"158","Nectarinia_asiatica"
"159","Nectarinia_lotenia"
"160","Nectarinia_minima"
"161","Nectarinia_zeylonica"
"162","Neochmia_temporalis"
"163","Niltava_vivida"
"164","Oreoica_gutturalis"
"165","Oreoscopus_gutturalis"
"166","Oriolus_oriolus"
"167","Oriolus_xanthornus"
"168","Orthonyx_spaldingii"
"169","Orthotomus_sutorius"
"170","Pachycephala_melanura"
"171","Pachycephala_pectoralis"
"172","Pachycephala_rufiventris"
"173","Pachycephala_simplex"
"174","Paradoxornis_verreauxi"
"175","Pardalotus_punctatus"
"176","Pardalotus_striatus"
"177","Parus_ater"
"178","Parus_atricapillus"
"179","Parus_caeruleus"
"180","Parus_major"
"181","Parus_monticolus"
"182","Parus_palustris"
"183","Parus_spilonotus"
"184","Parus_xanthogenys"
"185","Pericrocotus_brevirostris"
"186","Pericrocotus_flammeus"
"187","Petroica_goodenovii"
"188","Petroica_multicolor"
"189","Petroica_phoenicea"
"190","Petroica_rosea"
"191","Pheucticus_ludovicianus"
"192","Philemon_buceroides"
"193","Philemon_citreogularis"
"194","Philemon_corniculatus"
"195","Phylidonyris_novaehollandiae"
"196","Phylidonyris_pyrrhopterus"
"197","Phylloscopus_affinis"
"198","Phylloscopus_collybita"
"199","Phylloscopus_inornatus"
"200","Phylloscopus_magnirostris"
"201","Phylloscopus_proregulus"
"202","Phylloscopus_reguloides"
"203","Phylloscopus_sibilatrix"
"204","Phylloscopus_trochiloides"
"205","Phylloscopus_xanthoschistos"
"206","Piranga_olivacea"
"207","Pitta_versicolor"
"208","Polioptila_caerulea"
"209","Pomatorhinus_horsfieldii"
"210","Pomatostomus_superciliosus"
"211","Psaltriparus_minimus"
"212","Psophodes_olivaceus"
"213","Ptiloris_victoriae"
"214","Pycnonotus_cafer"
"215","Pycnonotus_jocosus"
"216","Pycnonotus_luteolus"
"217","Pyrocephalus_rubinus"
"218","Pyrrhula_erythaca"
"219","Pyrrhula_nipalensis"
"220","Rhipidura_fuliginosa"
"221","Rhipidura_leucophrys"
"222","Rhipidura_phasiana"
"223","Rhipidura_rufifrons"
"224","Rhipidura_rufiventris"
"225","Seicercus_burkii"
"226","Seiurus_aurocapilla"
"227","Sericornis_citreogularis"
"228","Sericornis_frontalis"
"229","Sericornis_magnirostra"
"230","Setophaga_ruticilla"
"231","Sialia_mexicana"
"232","Sialia_sialis"
"233","Sitta_carolinensis"
"234","Sitta_castanea"
"235","Sitta_europaea"
"236","Sitta_frontalis"
"237","Smicrornis_brevirostris"
"238","Sphecotheres_vieilloti"
"239","Stachyris_erythroptera"
"240","Stagonopleura_guttata"
"241","Strepera_graculina"
"242","Strepera_versicolor"
"243","Strophocincla_cachinnans"
"244","Sylvia_atricapilla"
"245","Taeniopygia_guttata"
"246","Tarsiger_indicus"
"247","Tarsiger_johnstoniae"
"248","Terpsiphone_paradisi"
"249","Thryomanes_bewickii"
"250","Tregellasia_capito"
"251","Troglodytes_troglodytes"
"252","Turdoides_affinis"
"253","Turdoides_striata"
"254","Turdus_merula"
"255","Turdus_philomelos"
"256","Tyrannus_vociferans"
"257","Vermivora_luciae"
"258","Vireo_gilvus"
"259","Vireo_olivaceus"
"260","Vireo_philadelphicus"
"261","Vireo_solitarius"
"262","Xanthotis_macleayanus"
"263","Yuhina_brunneiceps"
"264","Yuhina_flavicollis"
"265","Yuhina_occipitalis"
"266","Zoothera_lunulata"
"267","Zosterops_japonicus"
"268","Zosterops_lateralis"
"269","Zosterops_luteus"
"270","Zosterops_palpebrosus"
