"","study","reference","doi","contribution"
"1","ot_521","Burleigh, J. Gordon, Rebecca T. Kimball, Edward L. Braun. 2015. Building the avian tree of life using a large-scale, sparse supermatrix. Molecular Phylogenetics and Evolution 84: 53-63","http://dx.doi.org/10.1016/j.ympev.2014.12.003",46.7741935483871
"2","ot_809","Jetz, W., G. H. Thomas, J. B. Joy, K. Hartmann, A. O. Mooers. 2012. The global diversity of birds in space and time. Nature 491 (7424): 444-448","http://dx.doi.org/10.1038/nature11631",45.1612903225806
"3","ot_290","Selvatti, Alexandre Pedro, Luiz Pedreira Gonzaga, Claudia Augusta de Moraes Russo. 2015. A Paleogene origin for crown passerines and the diversification of the Oscines in the New World. Molecular Phylogenetics and Evolution 88: 1-15.","http://dx.doi.org/10.1016/j.ympev.2015.03.018",29.0322580645161
"4","ot_2013","Oliveros, C. H., Field, D. J., Ksepka, D. T., Barker, F. K., Aleixo, A., Andersen, M. J., … Faircloth, B. C. (2019). Earth history and the passerine superradiation. Proceedings of the National Academy of Sciences, 116(16), 7916–7925. doi:10.1073/pnas.1813206116","http://dx.doi.org/10.1073/pnas.1813206116",24.1935483870968
"5","ot_2312","Stiller, J., Feng, S., Chowdhury, AA. et al. Complexity of avian evolution revealed by family-level genomes. Nature (2024). https://doi.org/10.1038/s41586-024-07323-1","https://doi.org/10.1038/s41586-024-07323-1",22.5806451612903
"6","ot_2079","Kennedy, J. D., Marki, P. Z., Reeve, A. H., Blom, M. P. K., Prawiradilaga, D. M., Haryoko, T., Koane, B., Kamminga, P., Irestedt, M., Jønsson, K. A., & Sheard, C. (2022). Diversification and community assembly of the world’s largest tropical island. Global Ecology and Biogeography. Portico. https://doi.org/10.1111/geb.13484","http://dx.doi.org/10.1111/geb.13484",19.3548387096774
"7","ot_2158","McCullough, J. M., Oliveros, C. H., Benz, B. W., Zenil-Ferguson, R., Cracraft, J., Moyle, R. G., & Andersen, M. J. (2022). Wallacean and Melanesian Islands Promote Higher Rates of Diversification within the Global Passerine Radiation Corvides. Systematic Biology. https://doi.org/10.1093/sysbio/syac044
","http://dx.doi.org/10.1093/sysbio/syac044",17.3387096774194
"8","pg_2913","Price, Trevor D., Daniel M. Hooper, Caitlyn D. Buchanan, Ulf S. Johansson, D. Thomas Tietze, Per Alström, Urban Olsson, Mousumi Ghosh-Harihar, Farah Ishtiaq, Sandeep K. Gupta, Jochen Martens, Bettina Harr, Pratap Singh, Dhananjai Mohan. 2014. Niche filling slows the diversification of Himalayan songbirds. Nature 509: 222-225.","http://dx.doi.org/10.1038/nature13272",16.1290322580645
"9","ot_1043","Marki, Petter Z., Knud A. Jønsson, Martin Irestedt, Jacqueline M.T. Nguyen, Carsten Rahbek, Jon Fjeldså. 2017. Supermatrix phylogeny and biogeography of the Australasian Meliphagides radiation (Aves: Passeriformes). Molecular Phylogenetics and Evolution 107: 516-529","http://dx.doi.org/10.1016/j.ympev.2016.12.021",14.9193548387097
"10","ot_783","Moyle, Robert G., Carl H. Oliveros, Michael J. Andersen, Peter A. Hosner, Brett W. Benz, Joseph D. Manthey, Scott L. Travers, Rafe M. Brown, Brant C. Faircloth. 2016. Tectonic collision and uplift of Wallacea triggered the global songbird radiation. Nature Communications 7: 12709","http://dx.doi.org/10.1038/ncomms12709",14.5161290322581
"11","pg_2404","Barker, F. Keith, Alice Cibois, Peter Schikler, Julie Feinstein, Joel Cracraft. 2004. Phylogeny and diversification of the largest avian radiation. Proceedings of the National Academy of Sciences of the United States of America 101 (30): 11040-11045.","http://dx.doi.org/10.1073/pnas.0401892101",12.9032258064516
"12","ot_520","Jønsson, Knud Andreas, Pierre-Henri Fabre, Jonathan D. Kennedy, Ben G. Holt, Michael K. Borregaard, Carsten Rahbek, Jon Fjeldså. 2016. A supermatrix phylogeny of corvoid passerine birds (Aves: Corvides). Molecular Phylogenetics and Evolution 94: 87-94.","http://dx.doi.org/10.1016/j.ympev.2015.08.020",12.0967741935484
