scientificName,kingdom
Ailuroedus melanotis
Aplonis metallica
Arses kaupi
Cacatua alba
Monarcha leucotis
Colluricincla rufogaster
Coracina lineata
Cyclopsitta sp.
Dicaeum hirundinaceum
Eudynamys orientalis
Gerygone palpebrosa
Lalage leucomela
Ptiloris victoriae
Myiagra ruficollis
Meliphaga gracilis
Myzomela obscura
Orthonyx spaldingii
Pachycephala simplex
Pitta versicolor
Rhipidura fuliginosa
Rhipidura rufifrons
Sericornis magnirostra
Sphecotheres vieilloti
Monarcha trivirgatus
Tregellasia capito
Xanthotis macleayanus
Zosterops lateralis
Ptilinopus magnificus
Macropygia amboinensis
Platycercus elegans
Coracina lineata
Meliphaga lewinii
Lichenostomus frenatus
Acanthorhynchus tenuirostris
Neochmia temporalis
Ptiloris victoriae
Tregellasia capito
Pachycephala pectoralis
Colluricincla boweri
Rhipidura rufifrons
Rhipidura fuliginosa
Sericornis magnirostra
Gerygone mouki
Climacteris picumnus
Alectura lathami
Heteromyias albispecularis
Orthonyx spaldingii
Psophodes olivaceus
Oreoscopus gutturalis
Sericornis citreogularis
Junco hyemalis
Catharus guttatus
Catharus ustulatus
Troglodytes troglodytes
Seiurus aurocapilla
Catharus fuscescens
Hylocichla mustelina
Picoides villosus
Sphyrapicus varius
Picoides pubescens
Sitta carolinensis
Vireo solitarius
Dendroica fusca
Parus atricapillus
Dendroica virens
Vireo olivaceus
Vireo philadelphicus
Pheucticus ludovicianus
Piranga olivacea
Empidonax minimus
Setophaga ruticilla
Dendroica caerulescens
Climacteris picumnus
Acanthiza uropygialis
Stagonopleura guttata
Melanodryas cucullata
Microeca fascinans
Petroica goodenovii
Petroica multicolor
Aphelocephala leucopsis
Malurus cyaneus
Pomatostomus superciliosus
Rhipidura leucophrys
Corcorax melanorhamphos
Acanthiza chrysorrhoa
Gerygone chloronota
Gerygone magnirostris
Gerygone magnirostris
Conopophila albogularis
Lichenostomus unicolor
Zosterops luteus
Lalage leucomela
Rhipidura rufifrons
Myiagra ruficollis
Pachycephala simplex
Microeca flavigaster
Chrysococcyx minutillus
Pachycephala melanura
Eopsaltria pulverulenta
Rhipidura rufiventris
Myiagra alecto
Merops ornatus
Lichmera indistincta
Philemon buceroides
Myzomela erythrocephala
Melanerpes formicivorus
Sitta carolinensis
Thryomanes bewickii
Icterus parisorum
Baeolophus wollweberi
Psaltriparus minimus
Vermivora luciae
Myiarchus cinerascens
Sialia sialis
Empidonax oberholseri
Pyrocephalus rubinus
Tyrannus vociferans
Melanerpes formicivorus
Melanerpes uropygialis
Picoides scalaris
Picoides arizonae
Picoides nuttallii
Sitta carolinensis
Icterus parisorum
Icterus bullockii
Thryomanes bewickii
Baeolophus wollweberi
Baeolophus inornatus
Psaltriparus minimus
Polioptila caerulea
Vireo gilvus
Vermivora luciae
Tyrannus vociferans
Myiarchus cinerascens
Empidonax oberholseri
Pyrocephalus rubinus
Sialia sialis
Sialia mexicana
Myzomela erythrocephala
Lichmera indistincta
Zosterops luteus
Gerygone magnirostris
Gerygone levigaster
Gerygone chloronota
Pachycephala simplex
Myiagra alecto
Eopsaltria pulverulenta
Rhipidura rufiventris
Rhipidura phasiana
Myiagra ruficollis
Myiagra rubecula
Dicrurus leucophaeus
Terpsiphone paradisi
Hypsipetes leucocephalus
Dicrurus macrocercus
Oriolus xanthornus
Psittacula roseata
Phaenicophaeus viridirostris
Chloropsis cochinchinensis
Phylloscopus reguloides
Megalaima zeylanica
Merops leschenaulti
Upupa epops
Aegithina tiphia
Orthotomus sutorius
Merops orientalis
Phylloscopus trochiloides
Gallus sonneratii
Pavo cristatus
Turdoides striata
Acridotheres fuscus
Phylloscopus magnirostris
Nectarinia lotenia
Psittacula columboides
Dicaeum erythrorhynchos
Dicaeum concolor
Nectarinia asiatica
Nectarinia zeylonica
Hirundo daurica
Pycnonotus cafer
Pycnonotus jocosus
Picus xanthopygaeus
Dumetia hyperythra
Loriculus vernalis
Dicrurus caerulescens
