"","x"
"1","Aegithalos caudatus"
"2","Certhia brachydactyla"
"3","Certhia familiaris"
"4","Chloris chloris"
"5","Coccothraustes coccothraustes"
"6","Cyanistes caeruleus"
"7","Dendrocopos major"
"8","Dendrocopos medius"
"9","Dryocopus martius"
"10","Erithacus rubecula"
"11","Ficedula albicollis"
"12","Ficedula hypoleuca"
"13","Fringilla coelebs"
"14","Muscicapa striata"
"15","Oriolus oriolus"
"16","Parus major"
"17","Phoenicurus phoenicurus"
"18","Phylloscopus collybita"
"19","Phylloscopus sibilatrix"
"20","Poecile palustris"
"21","Sitta europaea"
"22","Sturnus vulgaris"
"23","Sylvia atricapilla"
"24","Sylvia borin"
"25","Troglodytes troglodytes"
"26","Turdus merula"
"27","Turdus philomelos"
"28","Turdus viscivorus"
